#name,id,group,permission,passwordHash,
User1,3141592653,2718281828,0,2755278157,
User2,1234567890,3216549870,0,2214264983,
Admin,admin,admin,2,762590135,
GaoYichao,0713,King,0,1746747293,
Alice,001,SCS,0,5274865,
Bob,002,SCS,0,5274866,
Chris,003,SEE,0,5274867,
David,004,SICE,0,5274868,
Eric,005,SEE,0,5274869,
Frank,006,SICE,0,5274870,
George,007,SAI,0,5274871,
Harry,008,SEE,0,5274872,
Iris,009,SAI,0,5274873,
Jack,010,SICE,0,5275195,
Kevin,011,SEE,0,5275196,
Lisa,012,SAI,0,5275197,
Mary,013,SCS,0,5275198,
Nancy,014,SCS,0,5275199,
Oppo,015,SCS,0,5275200,
